title,authors,average_rating,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher,title_ser,num_in_ser,month,day,year,century,num_coauthors,pages_category,ar_fillna,np_fillna,publisher_fillna
The Acme Novelty Datebook  Vol. 1  1986-199,Chris Ware,4.17,eng,,504,23,11/26/2013,Drawn and Quarterly,-,0,11,26,2013,21,1,,4.17,296.0,Drawn and Quarterly
Quimby The Mous,Chris Ware,4.09,other,69.0,1411,32,11/20/2003,Jonathan Cape,-,0,11,20,2003,21,1,до 100 стр.,4.09,69.0,Jonathan Cape
Candide: or  Optimis,Voltaire/Chris Ware/Theo Cuffe/Michael  Wood,3.77,eng,155.0,1929,193,10/25/2005,Penguin Group,-,0,10,25,2005,21,4,от 100 до 500 стр.,3.77,155.0,Penguin Group
Even Cowgirls Get the Blue,Tom Robbins,3.76,eng,366.0,44664,1483,10/11/2001,No Exit Press,-,0,10,11,2001,21,1,от 100 до 500 стр.,3.76,366.0,No Exit Press
Even Cowgirls Get the Blues & My Own Private Idah,Gus Van Sant/Tom Robbins,3.76,eng,199.0,97,2,2/21/1994,Faber  Faber,-,0,2,21,1994,20,2,от 100 до 500 стр.,3.76,199.0,Faber  Faber
Awakening the Buddha Within: Eight Steps to Enlightenmen,Surya  Das,4.19,other,432.0,12034,285,6/15/1998,Harmony,-,0,6,15,1998,20,1,от 100 до 500 стр.,4.19,432.0,Harmony
Iran Awakening: A Memoir of Revolution and Hop,Shirin Ebadi,4.14,eng,232.0,3187,267,5/2/2006,Random House (NY),-,0,5,2,2006,21,1,от 100 до 500 стр.,4.14,232.0,Random House (NY)
The Book of Awakening: Having the Life You Want by Being Present to the Life You Hav,Mark Nepo,4.31,eng,438.0,5495,295,5/31/2000,Conari Press,-,0,5,31,2000,20,1,от 100 до 500 стр.,4.31,438.0,Conari Press
Awakening Intuition: Using Your Mind-Body Network for Insight and Healin,Mona Lisa Schulz/Christiane Northrup,3.93,eng,397.0,317,32,4/20/1999,Three Rivers Press,-,0,4,20,1999,20,2,от 100 до 500 стр.,3.93,397.0,Three Rivers Press
The Grace Awakening: Believing in Grace Is One Thing. Living it Is Anothe,Charles R. Swindoll,4.33,eng,306.0,2068,63,11/19/2006,Thomas Nelson,-,0,11,19,2006,21,1,от 100 до 500 стр.,4.33,306.0,Thomas Nelson
Spring's Awakenin,Frank Wedekind/Eric Bentley,3.8,eng,126.0,3378,137,4/1/2000,,-,0,4,1,2000,20,2,от 100 до 500 стр.,3.8,126.0,Vintage
Awakening at Midlife: A Guide to Reviving Your Spirit  Recreating Your Life  and Returning to Your Truest Sel,Kathleen A. Brehony,3.99,other,384.0,64,8,9/1/1997,Riverhead Books,-,0,9,1,1997,20,1,от 100 до 500 стр.,3.99,384.0,Riverhead Books
A Portrait of the Artist As a Young Ma,James Joyce/Walter Hettche/Hans Walter Gabler/John Paul Riquelme/John Mitchel/Michael Davitt/Canon  Doyle/Pádraic Pearse/Ignatius of Loyola/Giovanni Pietro Pinamont/Walter Pater/Oscar Wilde/Douglas Hyde/Kenneth Burke/Umberto Eco/Hugh Kenner/Hélène Cixous/Karen Lawrence/Maud Ellmann/Bonnie Kime Scott/Joseph Valente/Marian Eide/Pericles Lewis/Jonathan Mulrooney/J.M. Synge,,eng,490.0,359,35,5/1/2007,W. W. Norton & Company,-,0,5,1,2007,21,25,от 100 до 500 стр.,3.95,490.0,W. W. Norton & Company
Vincent Van Gogh: Portrait of an Artis,Jan Greenberg/Sandra Jordan,3.94,eng,144.0,220,38,1/14/2003,Yearling,-,0,1,14,2003,21,2,от 100 до 500 стр.,3.94,144.0,Yearling
One Hundred Years Of Solitud,Gabriel García Márquez,4.07,eng,416.0,376,53,9/21/1995,Everyman,-,0,9,21,1995,20,1,от 100 до 500 стр.,4.07,416.0,Everyman
The Annotated Lolit,Vladimir Nabokov/Alfred Appel,4.28,eng,457.0,2965,358,4/23/1991,Vintage Books,-,0,4,23,1991,20,2,от 100 до 500 стр.,4.28,457.0,Vintage Books
Lolit,Vladimir Nabokov/Jeremy Irons,3.89,eng,12.0,787,239,4/26/2005,Random House Audio,-,0,4,26,2005,21,2,до 100 стр.,3.89,12.0,Random House Audio
Nacho and Lolit,Pam Muñoz Ryan/Claudia Rueda,3.97,eng,40.0,34,5,10/1/2005,Scholastic Press,-,0,10,1,2005,21,2,до 100 стр.,3.97,40.0,Scholastic Press
Reading Lolita in Tehra,Azar Nafisi,3.61,eng,343.0,325,56,1/2/2004,,-,0,1,2,2004,21,1,от 100 до 500 стр.,3.61,343.0,Vintage
sex.lies.murder.fame,Lolita Files,3.79,eng,368.0,205,27,1/10/2006,Amistad,-,0,1,10,2006,21,1,от 100 до 500 стр.,3.79,368.0,Amistad
Farm Animals,Phoebe Dunn,3.86,eng,28.0,35,4,2/12/1984,Random House Books for Young Readers,-,0,2,12,1984,20,1,до 100 стр.,3.86,28.0,Random House Books for Young Readers
The Good Soldie,Ford Madox Ford/Frank Kermode,3.72,eng,,264,35,3/28/2005,Barnes  Noble Classics,-,0,3,28,2005,21,2,,3.72,296.0,Barnes  Noble Classics
Nex,Michael Crichton,,eng,431.0,59354,2540,11/28/2006,Harper,-,0,11,28,2006,21,1,от 100 до 500 стр.,3.95,431.0,Harper
Three Complete Novels: The Andromeda Strain / The Terminal Man / The Great Train Robber,Michael Crichton,4.06,eng,,1004,31,3/1/1993,Wings,-,0,3,1,1993,20,1,,4.06,296.0,Wings
A Case of Nee,Jeffery Hudson/Michael Crichton,3.72,eng,416.0,17135,654,8/5/2003,Signet,-,0,8,5,2003,21,2,от 100 до 500 стр.,3.72,416.0,Signet
Travel,Michael Crichton,,eng,400.0,7084,514,11/5/2002,,-,0,11,5,2002,21,1,от 100 до 500 стр.,3.95,400.0,Vintage
Rising Su,Michael Crichton,3.63,eng,,42645,717,8/30/2004,Turtleback Books,-,0,8,30,2004,21,1,,3.63,296.0,Turtleback Books
The Andromeda Strain,Michael Crichton,3.89,eng,327.0,202043,2850,10/28/2003,Avon Books,Andromeda,1,10,28,2003,21,1,от 100 до 500 стр.,3.89,327.0,Avon Books
Cong,Michael Crichton,3.59,eng,442.0,144636,1546,10/28/2003,Avon Books,-,0,10,28,2003,21,1,от 100 до 500 стр.,3.59,442.0,Avon Books
Eaters of the Dea,Michael Crichton,3.67,eng,304.0,28367,1096,8/29/2006,Avon,-,0,8,29,2006,21,1,от 100 до 500 стр.,3.67,304.0,Avon
The Terminal Ma,Michael Crichton,3.36,eng,266.0,21457,576,11/5/2002,Avon,-,0,11,5,2002,21,1,от 100 до 500 стр.,3.36,266.0,Avon
Five Patient,Michael Crichton,3.48,eng,204.0,4828,97,1/13/1989,Ballantine Books,-,0,1,13,1989,20,1,от 100 до 500 стр.,3.48,204.0,Ballantine Books
Twiste,Michael Crichton/Anne-Marie Martin,3.63,eng,182.0,18,1,4/7/1999,Ballantine Books,-,0,4,7,1999,20,2,от 100 до 500 стр.,3.63,182.0,Ballantine Books
Peter Pan and Other Play,J.M. Barrie/Peter Hollindale,,eng,384.0,366,21,7/15/1999,Oxford University Press,-,0,7,15,1999,20,2,от 100 до 500 стр.,3.95,384.0,Oxford University Press
Holy the Fir,Annie Dillard,4.22,eng,76.0,3722,339,12/30/1998,Harper Perennial,-,0,12,30,1998,20,1,до 100 стр.,4.22,76.0,Harper Perennial
Persian Mirrors: The Elusive Face of Ira,Elaine Sciolino,3.82,eng,,546,53,10/3/2005,Free Press,-,0,10,3,2005,21,1,,3.82,296.0,Free Press
Plays: Mrs Warren's Profession/Man and Superman/Major Barbara/Pygmalio,George Bernard Shaw/Sandie Byrne,3.94,eng,551.0,125,6,5/16/2002,W.W. Norton & Company,-,0,5,16,2002,21,2,от 500 до 1000 стр.,3.94,551.0,W.W. Norton & Company
Pygmalion & My Fair Lad,George Bernard Shaw/Alan Jay Lerner,4.26,eng,240.0,14962,61,3/7/2006,Signet,-,0,3,7,2006,21,2,от 100 до 500 стр.,4.26,240.0,Signet
Saint Joan/Major Barbara/Androcles and the Lio,George Bernard Shaw,3.67,eng,479.0,11,5,11/12/1979,Modern Library/Random House (NY),-,0,11,12,1979,20,1,от 100 до 500 стр.,3.67,479.0,Modern Library/Random House (NY)
Pygmalio,George Bernard Shaw,3.9,eng,82.0,76944,1636,10/20/1994,Dover Publications,-,0,10,20,1994,20,1,до 100 стр.,3.9,82.0,Dover Publications
Plays Pleasan,George Bernard Shaw/Dan H. Laurence/W.J. McCormack,3.9,eng,336.0,265,10,3/27/2003,Penguin Classics,-,0,3,27,2003,21,3,от 100 до 500 стр.,3.9,336.0,Penguin Classics
The Metamorphosi,Peter Kuper/Franz Kafka/Kerstin Hasenpusch,3.79,eng,78.0,181,26,8/5/2003,Crown,-,0,8,5,2003,21,3,до 100 стр.,3.79,78.0,Crown
The Metamorphosis,Peter Kuper/Franz Kafka/Kerstin Hasenpusch,3.79,eng,80.0,3192,307,7/20/2004,Broadway Books,-,0,7,20,2004,21,3,до 100 стр.,3.79,80.0,Broadway Books
The Metamorphosis and Other Storie,Franz Kafka/Jason Baker/Donna Freed,4.03,eng,224.0,38114,793,7/1/2003,Barnes  Noble Classics,-,0,7,1,2003,21,3,от 100 до 500 стр.,4.03,224.0,Barnes  Noble Classics
Antigone's Claim: Kinship Between Life and Deat,Judith Butler,3.76,other,118.0,433,20,5/23/2002,Columbia University Press,-,0,5,23,2002,21,1,от 100 до 500 стр.,3.76,118.0,Columbia University Press
Fear and Loathing in Las Vega,Hunter S. Thompson/Ralph Steadman,4.08,eng,230.0,3472,251,4/4/2005,Harper Perennial,-,0,4,4,2005,21,2,от 100 до 500 стр.,4.08,230.0,Harper Perennial
Fear and Loathing on the Campaign Trail '7,Hunter S. Thompson,4.12,eng,481.0,17227,662,10/1/2006,Warner Books (NY),-,0,10,1,2006,21,1,от 100 до 500 стр.,4.12,481.0,Warner Books (NY)
Cliffsnotes on Beckett's Waiting for Godot and Other Play,James Lamar Roberts/Jeffrey Fisher,3.67,eng,72.0,3,0,7/28/1980,Cliffs Notes,-,0,7,28,1980,20,2,до 100 стр.,3.67,72.0,Cliffs Notes
Dr. Seuss's AB,Dr. Seuss,4.08,eng,21.0,27139,731,11/26/1996,Random House,-,0,11,26,1996,20,1,до 100 стр.,4.08,21.0,Random House
Dr. Seuss's Sleep Boo,Dr. Seuss,4.17,eng,58.0,8967,351,7/24/2012,New York: Random House,-,0,7,24,2012,21,1,до 100 стр.,4.17,58.0,New York: Random House
Happy Birthday to You,Dr. Seuss,4.13,eng,64.0,4344,262,8/12/1959,,-,0,8,12,1959,20,1,до 100 стр.,4.13,64.0,Vintage
McElligot's Poo,Dr. Seuss,4.06,eng,64.0,4560,253,9/12/1947,Random House Books for Young Readers,-,0,9,12,1947,20,1,до 100 стр.,4.06,64.0,Random House Books for Young Readers
The Cat in the Ha,Dr. Seuss,4.17,eng,61.0,289,4,11/11/1997,Random House Books for Young Readers,-,0,11,11,1997,20,1,до 100 стр.,4.17,61.0,Random House Books for Young Readers
Horton Hears a Who,Dr. Seuss,4.18,eng,64.0,89920,1207,10/10/1990,Random House Books for Young Readers,-,0,10,10,1990,20,1,до 100 стр.,4.18,64.0,Random House Books for Young Readers
The 500 Hats of Bartholomew Cubbin,Dr. Seuss,4.04,eng,,13097,324,12/9/1989,Random House Books for Young Readers,-,0,12,9,1989,20,1,,4.04,296.0,Random House Books for Young Readers
Oh Say Can You Say,Dr. Seuss,4.01,eng,36.0,5868,162,11/1/2005,London : Collins  2004.,-,0,11,1,2005,21,1,до 100 стр.,4.01,36.0,London : Collins  2004.
I Can Read With My Eyes Shut,Dr. Seuss,4.2,eng,48.0,16917,444,5/6/2003,HarperCollinsChildren’sBooks,-,0,5,6,2003,21,1,до 100 стр.,4.2,48.0,HarperCollinsChildren’sBooks
¡Horton escucha a quién,Dr. Seuss/Yanitzia Canetti,,other,64.0,29,4,3/1/2003,Lectorum Publications,-,0,3,1,2003,21,2,до 100 стр.,3.95,64.0,Lectorum Publications
The Cat in the Hat and Other Dr. Seuss Favorite,Dr. Seuss/Various,4.42,eng,61.0,50844,160,10/14/2003,Listening Library (Audio),-,0,10,14,2003,21,2,до 100 стр.,4.42,61.0,Listening Library (Audio)
Daisy-Head Mayzi,Dr. Seuss,3.87,eng,56.0,3196,137,1/11/1995,Random House Books for Young Readers,-,0,1,11,1995,20,1,до 100 стр.,3.87,56.0,Random House Books for Young Readers
Dr. Seuss Goes to War: The World War II Editorial Cartoons of Theodor Seuss Geise,Richard H. Minear/Art Spiegelman/Dr. Seuss,4.16,eng,272.0,1282,102,9/1/2001,The New Press,-,0,9,1,2001,21,3,от 100 до 500 стр.,4.16,272.0,The New Press
Dr. Seuss's ABC,Dr. Seuss,4.08,eng,,8,0,1/5/2005,Random House Books for Young Readers,-,0,1,5,2005,21,1,,4.08,296.0,Random House Books for Young Readers
Cattus Petasatus: The Cat in the Hat in Lati,Dr. Seuss/Jennifer Morrish Tunberg/Terence Tunberg/Terence O. Tunberg/Guenevera Tunberg/Terentio Tunberg,4.17,other,75.0,63,9,5/6/2005,Bolchazy-Carducci Publishers,-,0,5,6,2005,21,6,до 100 стр.,4.17,75.0,Bolchazy-Carducci Publishers
Ten Apples Up On Top,Theo LeSieg/Dr. Seuss/Roy McKie,4.12,eng,62.0,31251,494,8/4/2003,HarperCollinsChildren’sBooks,-,0,8,4,2003,21,3,до 100 стр.,4.12,62.0,HarperCollinsChildren’sBooks
The Legacy of Luna: The Story of a Tree  a Woman  and the Struggle to Save the Redwood,Julia Butterfly Hill,3.95,eng,262.0,1844,220,4/3/2001,HarperOne,-,0,4,3,2001,21,1,от 100 до 500 стр.,3.95,262.0,HarperOne
Pale Fir,Vladimir Nabokov,,eng,246.0,32544,1610,8/31/2000,Penguin Books Ltd,-,0,8,31,2000,20,1,от 100 до 500 стр.,3.95,246.0,Penguin Books Ltd
Nabokov's Pale Fire: The Magic of Artistic Discover,Brian Boyd,4.22,eng,320.0,172,22,11/4/2001,Princeton University Press,-,0,11,4,2001,21,1,от 100 до 500 стр.,4.22,320.0,Princeton University Press
A Friend of the Eart,T. Coraghessan Boyle,,eng,275.0,30,3,10/8/2001,Bloomsbury Paperbacks,-,0,10,8,2001,21,1,от 100 до 500 стр.,3.95,275.0,Bloomsbury Paperbacks
Seduction and Betrayal: Women and Literatur,Elizabeth Hardwick/Joan Didion,4.01,eng,224.0,269,26,8/31/2001,NYRB Classics,-,0,8,31,2001,21,2,от 100 до 500 стр.,4.01,224.0,NYRB Classics
After Henr,Joan Didion,3.83,eng,,1205,100,4/27/1993,Vintage,-,0,4,27,1993,20,1,,3.83,296.0,Vintage
O Ano do Pensamento Mágic,Joan Didion,3.89,other,224.0,82,9,5/24/2006,Nova Fronteira,-,0,5,24,2006,21,1,от 100 до 500 стр.,3.89,224.0,Nova Fronteira
Another Day in Paradise: The Fourth Sherman's Lagoon Collectio,Jim Toomey,4.35,eng,130.0,68,1,9/6/2001,Andrews McMeel Publishing,-,0,9,6,2001,21,1,от 100 до 500 стр.,4.35,130.0,Andrews McMeel Publishing
Another Day in Cubicle Paradis,Scott Adams,4.01,eng,128.0,416,11,3/1/2002,Andrews McMeel Publishing,-,0,3,1,2002,21,1,от 100 до 500 стр.,4.01,128.0,Andrews McMeel Publishing
Moby Dick  or The Whal,Herman Melville/Harrison Hayford/Hershel Parker,3.5,other,573.0,106,19,9/19/2001,Northwestern University Press,-,0,9,19,2001,21,3,от 500 до 1000 стр.,3.5,573.0,Northwestern University Press
The Girl in the Flammable Skir,Aimee Bender,3.88,eng,192.0,6591,661,8/17/1999,Anchor,-,0,8,17,1999,20,1,от 100 до 500 стр.,3.88,192.0,Anchor
Planet of Slum,Mike  Davis,3.92,eng,,1727,173,3/1/2006,,-,0,3,1,2006,21,1,,3.92,296.0,Vintage
Late Victorian Holocausts: El Niño Famines and the Making of the Third Worl,Mike  Davis,4.11,eng,474.0,1021,101,6/17/2002,Verso,-,0,6,17,2002,21,1,от 100 до 500 стр.,4.11,474.0,Verso
No One Is Illegal: Fighting Racism and State Violence on the U.S.-Mexico Borde,Justin Akers Chacón/Mike  Davis,4.08,eng,240.0,237,22,4/1/2006,Haymarket Books,-,0,4,1,2006,21,2,от 100 до 500 стр.,4.08,240.0,Haymarket Books
Days Between Station,Steve Erickson,4.0,eng,256.0,709,49,2/9/2005,Simon & Schuster,-,0,2,9,2005,21,1,от 100 до 500 стр.,4.0,256.0,Simon & Schuster
Little Plu,Rumer Godden/Jean Primrose,,eng,,11,1,8/1/1987,Puffin Books,-,0,8,1,1987,20,2,,3.95,296.0,Puffin Books
Betsy's Wedding,Maud Hart Lovelace/Vera Neville,,other,260.0,4169,155,3/31/1996,HarperTrophy,Betsy-Tacy,10,3,31,1996,20,2,от 100 до 500 стр.,3.95,260.0,HarperTrophy
Betsy and the Great World,Maud Hart Lovelace/Vera Neville,4.14,eng,321.0,4747,148,3/31/1996,HarperTrophy,Betsy-Tacy,9,3,31,1996,20,2,от 100 до 500 стр.,4.14,321.0,HarperTrophy
Betsy and Tacy Go Over the Big Hill,Maud Hart Lovelace/Lois Lenski,4.18,other,192.0,7809,186,4/5/2000,HarperCollins,Betsy-Tacy,3,4,5,2000,20,2,от 100 до 500 стр.,4.18,192.0,HarperCollins
Maud Hart Lovelace's Deep Valley: A Guidebook of Mankato Places in the Betsy-Tacy Serie,Julie A. Schrader,4.29,eng,325.0,58,8,12/31/2002,Minnesota Heritage Publishing,-,0,12,31,2002,21,1,от 100 до 500 стр.,4.29,325.0,Minnesota Heritage Publishing
Early Candleligh,Maud Hart Lovelace/Rhoda R. Gilman,3.69,eng,,184,30,8/15/1992,Minnesota Historical Society Press,-,0,8,15,1992,20,2,,3.69,296.0,Minnesota Historical Society Press
Betsy and Joe,Maud Hart Lovelace/Vera Neville,,eng,,4586,119,3/31/1995,HarperTrophy,Betsy-Tacy,8,3,31,1995,20,2,,3.95,296.0,HarperTrophy
Betsy Was a Junior,Maud Hart Lovelace/Vera Neville,4.17,other,320.0,4839,126,3/31/1995,HarperTrophy,Betsy-Tacy,7,3,31,1995,20,2,от 100 до 500 стр.,4.17,320.0,HarperTrophy
Betsy and Tacy Go Downtown,Maud Hart Lovelace/Lois Lenski,4.21,eng,180.0,70,7,1/1/1943,Thomas Y. Crowell Company,Betsy-Tacy,4,1,1,1943,20,2,от 100 до 500 стр.,4.21,180.0,Thomas Y. Crowell Company
Emily of Deep Valley,Maud Hart Lovelace/Vera Neville,4.23,eng,,2722,151,12/31/2000,HarperTrophy,Deep Valley,2,12,31,2000,20,2,,4.23,296.0,HarperTrophy
Betsy-Tacy,Maud Hart Lovelace/Lois Lenski,4.07,other,144.0,20976,935,8/14/2007,HarperCollins,Betsy-Tacy,1,8,14,2007,21,2,от 100 до 500 стр.,4.07,144.0,HarperCollins
Five Little Peppers and How They Grew,Margaret Sidney,4.03,eng,352.0,22023,395,6/1/2006,Aladdin,Five Little Peppers,1,6,1,2006,21,1,от 100 до 500 стр.,4.03,352.0,Aladdin
Five Little Peppers at Schoo,Margaret Sidney/Barbara Cooney,3.92,eng,320.0,243,7,1/1/1988,Yearling,-,0,1,1,1988,20,2,от 100 до 500 стр.,3.92,320.0,Yearling
All-of-a-Kind Family Uptown,Sydney Taylor,4.28,eng,160.0,5702,65,4/1/2001,Taylor Productions Ltd,All-of-a-Kind-Family,4,4,1,2001,21,1,от 100 до 500 стр.,4.28,160.0,Taylor Productions Ltd
All-of-a-Kind Family,Sydney Taylor,4.22,eng,,21620,836,8/23/2005,Delacorte Press,All-of-a-Kind-Family,1,8,23,2005,21,1,,4.22,296.0,Delacorte Press
Winter Cottag,Carol Ryrie Brink,4.15,eng,178.0,182,37,6/1/1974,Atheneum,-,0,6,1,1974,20,1,от 100 до 500 стр.,4.15,178.0,Atheneum
Eddie's Valuable Propert,Carolyn Haywood,4.09,eng,,43,3,3/1/1975,William Morrow & Company,-,0,3,1,1975,20,1,,4.09,296.0,William Morrow & Company
Empire,Orson Scott Card,3.43,other,352.0,8577,756,11/28/2006,Tor Books,Empire,1,11,28,2006,21,1,от 100 до 500 стр.,3.43,352.0,Tor Books
Treaso,Orson Scott Card,3.9,eng,288.0,6234,337,1/24/2006,Orb Books,-,0,1,24,2006,21,1,от 100 до 500 стр.,3.9,288.0,Orb Books
First Meetings in Ender's Universe,Orson Scott Card,,eng,212.0,10475,496,9/1/2004,Tor,Ender's Saga,0,9,1,2004,21,1,от 100 до 500 стр.,3.95,212.0,Tor
Sarah,Orson Scott Card,3.88,eng,341.0,9828,1004,9/17/2001,Forge,Women of Genesis,1,9,17,2001,21,1,от 100 до 500 стр.,3.88,341.0,Forge
Rachel & Leah,Orson Scott Card,3.85,other,368.0,5618,514,11/29/2005,Forge Books,Women of Genesis,3,11,29,2005,21,1,от 100 до 500 стр.,3.85,368.0,Forge Books
How to Write Science Fiction and Fantas,Orson Scott Card,3.9,eng,140.0,475,66,7/15/1990,,-,0,7,15,1990,20,1,от 100 до 500 стр.,3.9,140.0,Vintage
Saint,Orson Scott Card,3.54,eng,608.0,2436,268,3/14/2001,,-,0,3,14,2001,21,1,от 500 до 1000 стр.,3.54,608.0,Vintage
Homebod,Orson Scott Card,3.39,eng,430.0,2707,167,1/25/1999,HarperTorch,-,0,1,25,1999,20,1,от 100 до 500 стр.,3.39,430.0,HarperTorch
Rebekah,Orson Scott Card,3.84,eng,416.0,7487,617,3/27/2012,Forge,Women of Genesis,2,3,27,2012,21,1,от 100 до 500 стр.,3.84,416.0,Forge
Red Prophet,Orson Scott Card,3.79,other,311.0,18228,427,7/15/1992,Tor Fantasy,Tales of Alvin Maker,2,7,15,1992,20,1,от 100 до 500 стр.,3.79,311.0,Tor Fantasy
The Call of Earth,Orson Scott Card,3.58,eng,352.0,10268,164,1/15/1994,Tor Books,Homecoming,2,1,15,1994,20,1,от 100 до 500 стр.,3.58,352.0,Tor Books
Shadow of the Hegemon,Orson Scott Card/David Birney/Scott Brick/Gabrielle de Cuir/Scott Sowers,3.95,eng,13.0,109,19,9/5/2006,Macmillan Audio,Shadow,2,9,5,2006,21,5,до 100 стр.,3.95,13.0,Macmillan Audio
Enchantmen,Orson Scott Card,3.9,eng,422.0,23534,2199,5/31/2005,Del Rey,-,0,5,31,2005,21,1,от 100 до 500 стр.,3.9,422.0,Del Rey
Voyage of Slaves,Brian Jacques/David Elliot,4.13,other,356.0,2288,69,9/14/2006,Philomel Books,Flying Dutchman,3,9,14,2006,21,2,от 100 до 500 стр.,4.13,356.0,Philomel Books
High Rhulain,Brian Jacques/David Elliot,4.12,eng,,134,11,9/22/2005,Philomel Books,Redwall,18,9,22,2005,21,2,,4.12,296.0,Philomel Books
Salamandastron,Brian Jacques/Gary Chalk,4.07,other,400.0,26237,240,9/15/2003,Firebird,Redwall,5,9,15,2003,21,2,от 100 до 500 стр.,4.07,400.0,Firebird
The Legend of Luke,Brian Jacques,4.0,eng,374.0,14205,144,6/2/2005,Firebird,Redwall,12,6,2,2005,21,1,от 100 до 500 стр.,4.0,374.0,Firebird
Redwall,Brian Jacques,4.12,eng,352.0,88167,2604,9/4/2006,Red Fox,Redwall,1,9,4,2006,21,1,от 100 до 500 стр.,4.12,352.0,Red Fox
Castaways of the Flying Dutchman,Brian Jacques/Ian Schoenherr,3.98,eng,356.0,8025,261,3/31/2003,,Flying Dutchman,1,3,31,2003,21,2,от 100 до 500 стр.,3.98,356.0,Vintage
Outcast of Redwall,Brian Jacques,,other,,17597,188,5/24/2004,Firebird,Redwall,8,5,24,2004,21,1,,3.95,296.0,Firebird
Triss,Brian Jacques/Allan Curless,3.99,eng,,10830,119,9/9/2004,Firebird,Redwall,15,9,9,2004,21,2,,3.99,296.0,Firebird
A Redwall Winter's Tal,Brian Jacques/Christopher Denise,4.13,other,72.0,2353,43,10/21/2004,Puffin,-,0,10,21,2004,21,2,до 100 стр.,4.13,72.0,Puffin
Mr. Impossibl,Roger Hargreaves,3.95,eng,32.0,614,29,8/24/1998,,-,0,8,24,1998,20,1,до 100 стр.,3.95,32.0,Vintage
Mr. Christma,Roger Hargreaves/Adam Hargreaves,,eng,40.0,202,17,9/14/2006,Price Stern Sloan,-,0,9,14,2006,21,2,до 100 стр.,3.95,40.0,Price Stern Sloan
Mr. Bum,Roger Hargreaves,4.03,eng,32.0,1701,74,3/23/1998,Price Stern Sloan,-,0,3,23,1998,20,1,до 100 стр.,4.03,32.0,Price Stern Sloan
Little Miss Birthda,Roger Hargreaves/Adam Hargreaves,4.02,eng,32.0,207,11,1/11/2007,Price Stern Sloan,-,0,1,11,2007,21,2,до 100 стр.,4.02,32.0,Price Stern Sloan
Little Miss Luck,Roger Hargreaves,3.82,eng,32.0,291,21,11/22/1999,Price Stern Sloan,-,0,11,22,1999,20,1,до 100 стр.,3.82,32.0,Price Stern Sloan
Mr. Happ,Roger Hargreaves,3.98,eng,36.0,1,0,4/30/2004,Egmont Children's Books,-,0,4,30,2004,21,1,до 100 стр.,3.98,36.0,Egmont Children's Books
Mr. Jelly and the Pirate,Roger Hargreaves/Adam Hargreaves,3.82,eng,,87,12,5/10/2007,Price Stern Sloan,-,0,5,10,2007,21,2,,3.82,296.0,Price Stern Sloan
Grandma Baa,Roger Hargreaves/Gray Jolliffe,4.12,eng,32.0,6,0,10/14/1989,Random House for Young Readers,-,0,10,14,1989,20,2,до 100 стр.,4.12,32.0,Random House for Young Readers
Gary Grizzl,Roger Hargreaves/Gray Jolliffe,4.33,eng,32.0,3,0,10/14/1989,Random House for Young Readers,-,0,10,14,1989,20,2,до 100 стр.,4.33,32.0,Random House for Young Readers
Charlie Oin,Roger Hargreaves/Gray Jolliffe,4.33,eng,32.0,3,0,10/14/1989,Random House  for Young Readers,-,0,10,14,1989,20,2,до 100 стр.,4.33,32.0,Random House  for Young Readers
Madame Je-Sais-Tou,Roger Hargreaves,,other,36.0,1,0,5/31/1997,Hachette,-,0,5,31,1997,20,1,до 100 стр.,3.95,36.0,Hachette
The Poppy Seed Cake,Margery Clark/Maud Petersham/Miska Petersham,4.37,eng,158.0,57,9,10/1/1964,Doubleday Books,-,0,10,1,1964,20,3,от 100 до 500 стр.,4.37,158.0,Doubleday Books
Cloudy With a Chance of Meatballs,Judi Barrett/Ron Barrett,,eng,32.0,124141,2038,4/1/1982,Atheneum Books for Young Readers,Cloudy with a Chance of Meatballs,1,4,1,1982,20,2,до 100 стр.,3.95,32.0,Atheneum Books for Young Readers
The Wind Thie,Judi Barrett/Diane Dawson Hearn,3.8,eng,32.0,4,1,1/1/1977,Atheneum Books,-,0,1,1,1977,20,2,до 100 стр.,3.8,32.0,Atheneum Books
Animales No Se Visten  Los,Judi Barrett/Ron Barrett,,eng,32.0,0,0,10/30/1991,Live Oak Media,-,0,10,30,1991,20,2,до 100 стр.,3.95,32.0,Live Oak Media
Beaut,Robin McKinley,4.05,eng,325.0,3258,478,7/26/2005,HarperCollins,-,0,7,26,2005,21,1,от 100 до 500 стр.,4.05,325.0,HarperCollins
Deerski,Robin McKinley,,other,,17485,1021,5/1/2005,Ace Books,-,0,5,1,2005,21,1,,3.95,296.0,Ace Books
Rose Daughte,Robin McKinley,3.77,eng,304.0,17168,997,12/1/1998,Ace,-,0,12,1,1998,20,1,от 100 до 500 стр.,3.77,304.0,Ace
The Door in the Hedg,Robin McKinley,3.68,eng,224.0,7941,419,10/13/2003,Firebird,-,0,10,13,2003,21,1,от 100 до 500 стр.,3.68,224.0,Firebird
The Stone Fe,Robin McKinley/John Clapp,3.36,eng,64.0,1036,78,9/1/1998,HMH Books for Young Readers,-,0,9,1,1998,20,2,до 100 стр.,3.36,64.0,HMH Books for Young Readers
